ResponseId,f_aff,f_ener,f_acc,f_ang,f_int,f_calm,f_app,f_cont,f_dis,f_qui,f_sad,f_emb,f_bor,f_anx,f_rela,f_fear,f_pea,f_sha,f_reli,f_gui,f_hap,f_pro,f_amu,f_joy,f_irr,f_fru,f_exc,f_conc,f_lon,i_aff,i_ener,i_acc,i_ang,i_int,i_calm,i_app,i_cont,i_dis,i_qui,i_sad,i_emb,i_bor,i_anx,i_rela,i_fear,i_pea,i_sha,i_reli,i_gui,i_hap,i_pro,i_amu,i_joy,i_irr,i_fru,i_exc,i_conc,i_lon,ftp1,ftp2,ftp3,ftp4,ftp5,ftp6,ftp7,ftp8,ftp9,ftp10,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,health,risk_self,risk_pop,risk_comp,age,gender_all,race_all,educ,income,emp,emp_affect,livealone,gender_bin_f,race_bin,emp_bin,FTP_av,FTP_Opp,FTP_Ext,FTP_Con,Openness,Conscientiousness,Extraversion,Agreeableness,Em_Stability,avg_f_pos,avg_f_neg,avg_i_pos,avg_i_neg
R_RrFpU6e8JWLxg9r,3,4,3,0,2,3,3,3,0,0,0,0,1,0,2,0,2,0,2,0,3,2,4,3,0,NA,3,0,0,2,4,3,NA,2,3,3,2,NA,NA,NA,NA,1,NA,3,NA,2,NA,2,NA,3,2,4,3,NA,0,2,NA,NA,5,5,6,5,5,6,5,4,5,4,6,7,6,7,7,7,5,7,5,7,4,1,2,1,25,male,Asian or Asian-American,"Completed 4-year college (BA, BS)","$30,000 to $40,000",Working for pay (part-time or full-time),1,Yes,Non-female,Non-white,Working,5,5,5,4,7,6.5,6.5,6,6,2.625,0.083333333,2.666666667,0.5
R_ulguoXbHwKDZq7f,2,2,2,1,2,3,3,3,NA,3,1,0,2,2,3,2,3,0,1,2,2,1,2,2,1,1,1,3,1,3,1,2,1,2,3,2,3,0,3,1,NA,2,2,3,1,3,NA,3,2,2,2,3,2,2,2,1,2,1,5,7,6,7,5,5,7,6,4,3,1,2,6,2,3,1,5,7,5,2,3,3,4,3,25,male,White or European-American,Some college or technical school,"$60,000 to $80,000",Working for pay (part-time or full-time),4,No,Non-female,White,Working,5.5,5,7,6,2.5,6.5,1,3.5,3.5,2.1875,1.333333333,2.375,1.454545455
R_Z8flfa522fjberT,2,2,1,1,2,3,3,3,1,2,2,1,2,3,2,2,2,1,1,1,2,0,2,0,0,2,1,2,0,3,2,2,1,2,3,2,2,3,3,3,2,2,3,2,2,2,1,2,1,2,NA,3,NA,NA,2,1,3,NA,3,4,2,4,2,2,3,2,2,2,4,6,5,5,5,2,5,4,5,5,4,2,4,2,25,female,White or European-American,Some college or technical school,"$30,000 to $40,000",Not currently working for pay,4,No,Female,White,Not_working,2.6,3,4,2,5,4.5,3,5.5,5,1.75,1.384615385,2.214285714,2.090909091
R_1CHeXnKcAmYhxBI,2,2,1,1,1,2,1,2,0,3,2,0,2,3,2,2,2,0,3,1,3,0,2,2,2,1,1,3,3,3,1,1,2,2,3,2,2,NA,3,3,NA,3,4,2,1,1,NA,2,1,3,NA,2,2,3,1,2,3,3,5,5,6,5,2,5,4,2,2,1,4,2,6,2,7,2,5,7,6,6,5,3,2,2,26,female,more than one race,Graduated high school (or GED),"$10,000 to $20,000",Working for pay (part-time or full-time),3,No,Female,Non-white,Working,3.7,5,5,2,6.5,6.5,3,3.5,4,1.8125,1.538461538,2.066666667,2.4
R_1dy0ds9KJ9HUEKW,1,1,2,2,2,2,1,1,2,3,2,1,3,4,1,2,1,1,1,1,2,1,2,1,2,2,1,3,3,1,1,2,3,2,1,2,2,2,3,3,1,4,4,1,3,1,1,1,1,2,1,2,2,3,3,2,2,3,5,7,7,6,6,6,7,3,4,2,2,3,6,2,5,1,7,5,5,2,3,2,4,3,26,male,White or European-American,Graduated high school (or GED),"$20,000 to $30,000",Working for pay (part-time or full-time),4,No,Non-female,White,Working,5.3,5,6,3,3.5,5.5,1.5,5,3.5,1.4375,2.153846154,1.625,2.538461538
R_1N3VZzZGswFh7CO,2,1,1,2,0,1,2,0,1,3,4,0,4,4,1,NA,0,1,NA,2,1,0,NA,0,2,2,1,3,4,4,2,1,3,NA,2,2,NA,1,3,4,NA,3,4,1,0,NA,2,0,2,3,NA,0,NA,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,3,6,3,6,6,3,4,3,2,3,3,26,female,White or European-American,Some college or technical school,"$60,000 to $80,000",Working for pay (part-time or full-time),4,No,Female,White,Working,NA,NA,NA,NA,5,6,4.5,4.5,3,0.928571429,2.416666667,1.909090909,2.916666667
R_1n9I0C8uC9NtEVo,2,2,2,2,2,2,2,2,0,1,3,1,3,3,2,1,1,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,NA,1,3,1,3,2,1,1,1,0,0,0,1,1,1,1,2,2,1,2,3,6,6,6,6,6,6,6,4,6,4,7,6,6,4,7,5,6,2,5,4,5,2,2,1,26,female,White or European-American,Completed graduate or professional degree,"$10,000 to $20,000",Working for pay (part-time or full-time),0,Yes,Female,White,Working,5.6,6,6,4,5.5,4,6,6,4.5,1.866666667,1.909090909,1.1875,1.666666667
R_1rGsVVo9WbdXZ3q,2,2,2,NA,2,2,2,3,NA,2,2,NA,2,3,2,2,2,NA,2,2,2,1,2,NA,3,2,2,3,NA,2,1,1,0,2,2,2,2,0,1,1,0,2,3,2,2,1,0,1,2,2,1,2,0,3,3,1,3,0,6,6,6,6,5,5,6,4,5,5,3,6,6,2,3,3,7,2,5,5,4,2,3,0,26,female,Black or African-American,Completed graduate or professional degree,"$140,000 to $160,000",Working for pay (part-time or full-time),0,No,Female,Non-white,Working,5.4,6,6,4,4,4,3,6.5,3.5,2,2.375,1.4375,1.461538462
R_22S81o3mu8oUm8P,2,2,1,0,2,3,3,3,0,4,1,0,3,2,3,1,3,0,3,0,3,2,2,2,NA,1,2,2,2,2,2,2,NA,2,3,2,3,NA,3,1,NA,3,2,3,1,3,NA,2,NA,3,2,3,3,0,1,3,2,3,5,7,7,7,6,5,6,5,5,2,3,7,6,6,5,3,6,7,6,4,5,0,3,1,26,male,Asian or Asian-American,"Completed 4-year college (BA, BS)","$10,000 to $20,000",Not currently working for pay,4,No,Non-female,Non-white,Not_working,5.5,5,7,5,4.5,6.5,3,6.5,6,2.5,1,2.5625,1.625
R_23aj1xUfah7FDhX,2,1,1,2,2,1,2,2,2,2,2,2,2,3,1,2,2,2,1,2,1,1,1,1,3,3,1,3,2,2,1,1,2,1,1,1,1,2,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,4,4,4,4,4,4,4,5,5,5,3,7,5,4,6,3,5,5,5,7,3,2,3,2,26,female,White or European-American,Some college or technical school,"$50,000 to $60,000",Working for pay (part-time or full-time),2,No,Female,White,Working,4.3,4,4,5,6.5,5,3,6,4.5,1.375,2.307692308,1.0625,2.153846154
R_2EaTeXfevuww9ju,2,NA,NA,2,1,1,1,NA,2,4,2,1,3,3,1,1,1,3,1,3,1,1,2,1,2,2,1,2,1,1,0,0,1,1,1,1,0,2,3,2,2,4,3,1,1,1,2,1,2,1,1,1,1,2,3,1,3,1,6,6,7,7,5,7,7,4,5,4,3,6,2,3,4,3,6,2,6,5,4,2,3,0,26,male,White or European-American,"Completed 4-year college (BA, BS)","Less than $10,000",Not currently working for pay,4,No,Non-female,White,Not_working,5.8,6,7,4,4.5,2,3,6,4.5,1.384615385,2.076923077,0.9375,2.153846154
R_2eVBnWAin3Abf06,3,2,2,1,2,3,4,3,0,2,1,1,2,2,2,1,3,0,1,0,3,3,2,2,1,1,2,2,2,3,2,3,1,3,3,4,4,NA,1,2,2,2,2,3,1,3,NA,2,NA,3,4,3,3,2,2,3,2,3,7,7,7,7,5,5,7,5,5,4,6,5,6,5,7,3,6,3,6,5,5,3,3,1,26,female,White or European-American,Some college or technical school,"$20,000 to $30,000",Working for pay (part-time or full-time),0,No,Female,White,Working,5.9,7,7,5,6,4.5,4.5,5.5,5.5,2.4375,1.076923077,2.9375,1.9
R_2q1rcfJePJVq1JH,3,2,1,NA,2,2,3,2,0,2,2,0,2,NA,2,0,2,NA,2,2,2,1,2,2,2,2,2,0,1,3,2,1,0,2,3,3,3,NA,2,1,NA,3,0,2,NA,2,0,1,2,2,1,2,1,3,2,2,NA,1,4,5,4,4,2,2,2,4,3,3,6,6,7,6,5,5,5,6,6,6,5,2,2,0,26,female,White or European-American,Some college or technical school,"$60,000 to $80,000",Working for pay (part-time or full-time),4,No,Female,White,Working,3.3,4,4,4,5.5,6.5,5.5,5.5,6,2,1.1,2,1.333333333
R_2wAna7awZklJZOb,0,2,1,2,1,4,3,4,1,3,2,0,2,2,3,2,3,0,1,2,2,0,1,2,2,2,2,3,3,NA,2,2,1,1,3,2,3,3,1,1,NA,3,2,3,2,1,NA,1,3,2,NA,1,3,3,3,2,3,3,5,6,5,6,5,3,4,3,3,2,1,6,5,5,6,1,5,3,6,2,5,3,2,1,26,female,White or European-American,"Completed 4-year college (BA, BS)","$60,000 to $80,000",Working for pay (part-time or full-time),1,Yes,Female,White,Working,4.2,5,6,3,4,4,1,5.5,5.5,2,1.769230769,1.928571429,2.454545455
R_3ElD254LeomuMBp,4,3,4,1,3,4,4,4,0,2,1,0,2,1,4,1,4,0,3,0,4,4,2,3,0,0,2,1,0,3,3,2,1,2,4,4,4,NA,2,1,NA,2,1,3,1,4,NA,4,NA,4,3,4,4,NA,NA,2,1,NA,7,7,7,7,7,7,7,1,7,5,5,4,7,3,7,1,7,5,7,4,5,2,2,2,26,female,Hispanic or Latinx,Some college or technical school,"$100,000 to $120,000",Working for pay (part-time or full-time),2,No,Female,Non-white,Working,6.2,7,7,1,5.5,6,3,5.5,5,3.375,0.538461538,3.25,1.166666667
R_3FOIbWzWOgBKWgf,3,2,2,3,3,1,3,NA,3,2,2,NA,1,3,2,3,1,NA,2,2,2,3,2,1,2,2,3,3,1,3,2,2,3,2,1,3,0,3,1,2,0,1,2,1,3,1,0,1,1,1,2,2,1,3,2,1,3,1,5,5,4,5,3,2,4,2,4,4,3,4,3,3,3,3,4,5,2,7,4,1,3,1,26,male,White or European-American,Graduated high school (or GED),"$60,000 to $80,000",Not currently working for pay,1,No,Non-female,White,Not_working,3.8,5,5,2,5,4,3,4,2.5,2.133333333,2.272727273,1.5,1.846153846
R_3IVLrDPxtSjdMEE,0,0,0,2,0,NA,0,0,4,NA,4,3,4,4,0,3,0,4,0,4,0,0,0,0,2,4,0,4,4,NA,NA,NA,2,NA,0,NA,NA,4,0,4,4,4,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,2,4,NA,4,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,2,1,3,5,4,26,male,White or European-American,Some college or technical school,"$20,000 to $30,000",Not currently working for pay,0,No,Non-female,White,Not_working,1,1,1,1,1.5,1,2,1.5,1.5,0,3.538461538,0,3.692307692
R_3qeYXKqTAkNRfzx,2,2,1,2,2,2,2,1,0,2,2,1,2,3,2,3,1,0,1,2,2,1,2,2,2,3,2,3,1,3,2,2,2,1,2,2,2,NA,3,2,1,3,3,1,3,1,NA,1,2,2,1,3,2,2,3,2,3,2,7,7,7,7,6,5,6,3,2,1,6,3,6,3,6,2,6,2,6,2,4,3,3,2,26,female,Asian or Asian-American,"Completed 4-year college (BA, BS)","$50,000 to $60,000",Not currently working for pay,2,No,Female,Non-white,Not_working,5.1,7,7,3,4,4,4,4.5,4.5,1.6875,1.846153846,1.875,2.363636364
R_begyPQeCu1ARa5r,3,3,3,1,4,3,3,2,1,3,1,0,2,1,3,1,4,NA,2,1,3,3,3,3,2,1,2,2,0,2,2,3,1,4,3,3,2,1,3,1,NA,2,1,3,1,3,0,2,1,2,2,2,2,2,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,5,5,4,7,2,6,3,5,4,3,1,2,1,26,male,White or European-American,Some college or technical school,"$20,000 to $30,000",Working for pay (part-time or full-time),0,Yes,Non-female,White,Working,4.1,5,4,4,5.5,4,3,5.5,4.5,2.9375,1.083333333,2.5,1.272727273
R_DTz3FkiPahsuBG1,NA,2,2,1,2,2,3,1,2,2,2,1,2,2,2,2,2,0,1,1,2,1,2,2,1,1,2,2,1,0,2,2,1,2,3,3,3,2,1,3,1,4,4,2,2,2,NA,2,2,3,2,3,3,2,2,3,3,2,3,4,4,5,2,3,5,5,4,2,6,7,4,2,5,6,7,3,6,3,4,2,3,1,26,female,Asian or Asian-American,"Completed 4-year college (BA, BS)","$50,000 to $60,000",Working for pay (part-time or full-time),1,No,Female,Non-white,Working,3.7,3,5,5,4,3.5,6,7,4,1.866666667,1.384615385,2.25,2.333333333
R_efIsXjVxrN3rb3j,1,2,1,1,1,3,1,2,NA,3,2,0,2,1,2,0,1,0,2,0,2,1,3,1,2,2,1,1,3,1,3,2,2,3,4,1,3,0,3,2,NA,2,1,3,NA,1,NA,2,NA,1,1,2,1,3,3,1,2,3,5,4,5,6,5,4,5,6,5,3,2,6,6,7,7,2,6,3,7,3,4,1,3,1,26,male,White or European-American,"Completed 4-year college (BA, BS)","$20,000 to $30,000",Working for pay (part-time or full-time),1,No,Non-female,White,Working,4.8,5,6,6,5,4.5,2,6,7,1.6875,1.166666667,2,2
R_RzfusIfzeUkm43n,1,1,2,3,1,2,2,3,NA,4,4,NA,4,3,2,2,1,NA,NA,2,2,NA,2,2,3,3,2,4,4,1,2,1,3,2,3,1,3,0,4,3,0,4,3,2,2,1,0,0,1,2,0,1,1,3,3,2,4,4,7,7,7,7,7,7,7,7,7,7,1,3,7,1,6,1,7,4,4,5,3,2,3,3,26,male,Hispanic or Latinx,Some college or technical school,"$100,000 to $120,000",Working for pay (part-time or full-time),1,No,Non-female,Non-white,Working,7,7,7,7,5.5,5.5,1,5,2.5,1.928571429,3.2,1.625,2.307692308
R_uyWvXiZxmidYChb,1,1,0,1,0,2,2,1,2,3,2,NA,3,NA,2,0,2,0,1,0,2,1,1,1,NA,1,1,2,3,1,1,NA,1,NA,3,1,1,1,3,1,0,3,0,3,NA,1,NA,1,NA,1,1,1,1,0,1,1,1,3,7,7,7,7,7,7,7,4,7,1,7,1,7,7,6,1,7,7,4,1,3,1,3,0,26,male,Hispanic or Latinx,Completed graduate or professional degree,"$40,000 to $50,000",Working for pay (part-time or full-time),1,No,Non-female,Non-white,Working,6.1,7,7,4,3.5,7,4,4,5.5,1.3125,1.4,1.428571429,1.1
R_ykd1z8OpZOQQCYN,1,1,2,NA,1,2,1,2,1,1,1,0,0,2,3,1,3,1,3,1,4,2,3,3,1,1,3,2,1,1,1,3,0,1,3,4,3,1,1,1,NA,NA,3,3,3,3,1,3,1,4,3,2,4,2,2,3,3,1,7,7,7,7,7,7,7,4,4,4,4,3,7,4,6,4,6,7,4,7,3,5,3,2,26,female,Black or African-American,Some college or technical school,"$10,000 to $20,000",Working for pay (part-time or full-time),4,No,Female,Non-white,Working,6.1,7,7,4,6.5,7,4,4.5,4,2.1875,1,2.625,1.636363636
R_12niPEo9DMmbS3Q,1,NA,2,3,2,NA,3,0,2,3,4,3,4,4,1,4,1,3,NA,3,1,2,1,1,3,4,1,4,4,1,0,2,3,2,0,4,NA,3,3,4,2,4,4,1,4,1,2,0,3,1,2,1,1,4,4,1,4,4,7,7,7,7,7,7,7,1,5,1,2,1,6,1,7,1,4,4,3,7,3,2,3,1,27,male,Black or African-American,Some college or technical school,"$80,000 to $100,000",Working for pay (part-time or full-time),4,No,Non-female,Non-white,Working,5.6,7,7,1,7,5,1.5,2.5,2,1.461538462,3.461538462,1.333333333,3.461538462
R_1q9dAxZjUOTwh9d,2,2,1,2,1,0,3,2,NA,3,3,3,3,4,0,3,1,3,1,4,2,1,2,NA,3,4,1,2,1,3,2,2,2,3,NA,1,3,0,4,4,4,4,4,NA,3,2,2,1,4,2,2,1,0,4,4,3,4,1,3,2,3,5,5,3,2,3,1,3,1,6,1,1,5,1,7,1,3,1,4,1,4,0,27,other gender,White or European-American,Completed graduate or professional degree,"$80,000 to $100,000",Working for pay (part-time or full-time),2,No,Non-female,White,Working,3,3,5,3,3,1,1,6.5,2,1.466666667,2.916666667,2.071428571,3.076923077
R_24x7xf3S7p6cyz0,4,4,4,0,4,4,4,4,0,0,0,0,0,2,3,0,4,0,2,0,4,2,4,4,0,0,4,1,1,3,3,4,NA,3,3,3,3,NA,NA,NA,NA,NA,2,3,NA,4,NA,3,NA,3,3,3,3,NA,NA,3,2,1,7,7,7,7,7,7,7,1,2,2,7,6,7,3,7,2,6,7,6,3,5,2,3,3,27,female,Asian or Asian-American,Some college or technical school,"$50,000 to $60,000",Not currently working for pay,2,No,Female,Non-white,Not_working,5.4,7,7,1,5,7,4.5,6,4.5,3.4375,0.307692308,3.133333333,1.666666667
R_26eRtHIS8lVtFla,2,1,1,2,2,2,2,1,3,4,3,2,4,4,2,3,2,1,2,1,2,1,1,1,3,3,1,3,3,3,2,3,1,3,3,2,3,2,3,2,2,3,3,2,2,2,1,2,1,3,3,4,3,2,2,2,1,1,7,7,6,6,5,5,7,4,3,2,4,3,7,2,7,1,5,6,5,2,3,3,4,3,27,female,Asian or Asian-American,"Completed 4-year college (BA, BS)","$40,000 to $50,000",Not currently working for pay,0,No,Female,Non-white,Not_working,5.2,7,6,4,4.5,6.5,2.5,4,3.5,1.6875,2.692307692,2.6875,1.769230769
R_2QMtvAaFeN6YR5M,2,1,1,2,0,0,1,0,1,2,4,2,4,4,0,2,0,2,1,0,1,1,1,0,3,3,0,0,4,3,1,2,4,NA,NA,1,NA,2,1,4,3,4,4,NA,2,NA,1,2,NA,2,1,1,NA,4,3,NA,NA,4,1,2,2,2,1,1,1,2,1,2,1,1,1,1,5,5,5,7,1,7,2,4,3,3,27,female,more than one race,"Completed 4-year college (BA, BS)","Less than $10,000",Working for pay (part-time or full-time),0,No,Female,Non-white,Working,1.5,1,2,2,6,4,3,3,1,0.6875,2.384615385,1.555555556,3.181818182
R_2RPxeV9Oe0NV98x,NA,1,1,2,1,1,1,2,2,3,4,1,3,4,1,2,1,2,1,2,1,1,1,1,3,3,1,4,4,0,1,1,2,1,1,1,2,1,3,3,1,3,3,1,2,1,1,1,1,1,1,1,1,2,2,1,2,3,5,5,5,5,5,5,5,3,4,4,3,3,6,3,5,3,6,6,6,6,5,1,3,1,27,female,more than one race,"Completed 4-year college (BA, BS)","$100,000 to $120,000",Working for pay (part-time or full-time),0,No,Female,Non-white,Working,4.6,5,5,3,5.5,6,3,4.5,4.5,1.2,2.769230769,1.125,2
R_2sd8ckcYFNb5imc,2,2,2,2,2,1,1,2,1,1,2,0,1,2,1,2,0,0,1,0,2,1,2,2,2,3,0,2,0,2,1,2,2,3,1,1,1,2,1,4,NA,3,3,1,2,NA,NA,1,NA,2,1,2,1,2,3,NA,3,NA,4,5,3,2,3,2,4,3,3,2,1,2,5,3,6,1,2,7,7,3,2,2,3,2,27,male,White or European-American,Graduated high school (or GED),"$40,000 to $50,000",Working for pay (part-time or full-time),0,No,Non-female,White,Working,3.1,4,2,3,4.5,6,1,2,5,1.375,1.307692308,1.428571429,2.666666667
R_33fooesAXQrlxF9,1,2,2,0,2,3,2,3,0,3,1,0,3,2,2,1,2,0,1,0,2,1,1,2,1,2,1,2,3,1,1,2,NA,1,3,3,4,NA,3,2,NA,3,1,3,1,2,NA,2,NA,2,1,1,1,2,2,1,2,3,4,6,5,7,5,4,6,6,5,5,3,7,6,6,4,2,5,3,7,2,5,3,3,2,27,male,White or European-American,"Completed 4-year college (BA, BS)","$100,000 to $120,000",Working for pay (part-time or full-time),1,No,Non-female,White,Working,5.3,4,7,6,3,4.5,2.5,6,6.5,1.875,1.153846154,1.9375,2
R_3efpzLzSHvf4kfh,3,3,3,1,2,3,2,2,0,2,1,0,2,1,3,0,3,0,1,0,3,2,2,2,2,1,2,2,0,2,2,3,2,2,2,2,2,NA,2,1,NA,2,2,2,NA,3,NA,1,NA,3,2,2,2,2,2,3,2,NA,7,7,7,7,3,6,7,7,5,4,2,5,6,3,7,2,6,3,3,7,3,3,3,1,27,female,White or European-American,"Completed 4-year college (BA, BS)","$30,000 to $40,000",Working for pay (part-time or full-time),0,No,Female,White,Working,6,7,7,7,7,4.5,2,5.5,3,2.375,0.769230769,2.1875,1.857142857
R_3JldlcY87Ur8TRr,3,2,2,3,2,1,4,3,1,1,1,NA,4,4,0,4,2,0,2,1,2,1,1,1,2,3,2,4,4,2,1,1,2,2,1,4,2,1,1,3,0,4,3,NA,3,2,NA,2,1,1,1,1,1,3,3,1,3,1,7,7,7,7,7,6,6,3,5,6,5,2,2,3,6,2,6,6,6,5,4,2,2,2,27,female,Asian or Asian-American,"Completed 4-year college (BA, BS)","$10,000 to $20,000",Working for pay (part-time or full-time),1,No,Female,Non-white,Working,6.1,7,7,3,5.5,4,3.5,4,4.5,1.8125,2.583333333,1.533333333,2.25
R_3vCOTALGw3AgqvD,3,3,2,NA,2,3,3,3,NA,3,1,NA,2,2,3,0,3,0,2,0,3,2,2,2,2,3,3,2,1,3,3,2,0,2,3,2,3,0,3,1,0,2,2,3,NA,3,NA,2,NA,3,3,3,3,1,1,2,1,1,5,6,6,6,5,3,5,6,6,5,5,3,7,5,6,3,5,6,6,6,5,4,4,0,27,male,White or European-American,Completed graduate or professional degree,"$80,000 to $100,000",Working for pay (part-time or full-time),0,No,Non-female,White,Working,5.3,5,6,6,6,6.5,4,4,5.5,2.625,1.3,2.6875,0.9
R_saERZo2CAMskegV,0,1,3,0,3,3,2,1,1,4,0,0,2,1,2,1,3,0,1,0,2,2,2,1,1,1,1,1,0,NA,2,3,NA,1,3,1,1,1,4,NA,NA,2,1,1,1,3,NA,1,NA,1,1,2,1,1,1,1,1,NA,5,5,4,4,5,5,4,2,2,3,2,5,6,7,7,1,4,5,7,5,3,1,4,1,27,male,White or European-American,Graduated high school (or GED),"$30,000 to $40,000",Not currently working for pay,4,No,Non-female,White,Not_working,3.9,5,4,2,6,5.5,1.5,4.5,7,1.9375,0.615384615,1.733333333,1.142857143
R_vfzRdKWeVRY0wY9,4,3,3,1,3,3,4,2,0,1,0,0,0,1,2,0,2,0,2,0,3,3,3,2,1,0,2,1,0,3,3,3,1,3,2,4,3,NA,1,NA,NA,NA,1,2,NA,2,NA,2,NA,3,3,3,3,1,NA,2,1,NA,7,7,7,7,7,7,7,7,7,7,5,6,6,6,7,3,6,7,6,7,4,3,3,1,27,male,Hispanic or Latinx,Some college or technical school,"$60,000 to $80,000",Working for pay (part-time or full-time),0,No,Non-female,Non-white,Working,7,7,7,7,7,6.5,4,6,6,2.625,0.307692308,2.625,1
R_0AioK8wcotNM7qp,3,2,2,1,2,2,2,2,1,4,1,1,1,2,2,2,3,2,1,0,2,1,2,2,1,1,2,2,1,1,2,2,1,2,3,3,2,1,4,2,1,2,2,3,2,3,1,1,NA,2,2,3,2,1,2,2,1,2,4,3,3,5,3,4,2,4,2,5,2,6,3,5,2,4,6,3,4,3,3,3,3,3,28,male,Asian or Asian-American,"Completed 4-year college (BA, BS)","$40,000 to $50,000",Working for pay (part-time or full-time),1,No,Non-female,Non-white,Working,3.5,4,5,4,2.5,3,3,6,4.5,2.125,1.230769231,2.3125,1.5
R_1CeUgMyCgjdC6B2,2,1,2,2,1,3,3,2,1,4,2,1,1,2,2,2,2,1,2,1,2,3,2,2,2,3,1,2,2,3,1,1,2,2,3,2,2,1,3,1,1,1,1,4,1,2,1,2,1,1,1,3,1,1,1,3,3,2,6,5,6,7,1,3,3,4,3,3,4,3,6,6,5,2,5,4,5,2,4,1,3,3,28,male,White or European-American,"Completed 4-year college (BA, BS)","$100,000 to $120,000",Working for pay (part-time or full-time),0,No,Non-female,White,Working,4.1,6,7,4,3.5,5,3,4,5.5,2.125,1.692307692,2.125,1.307692308
R_1dA1mxocj5R8zAu,0,0,0,1,0,NA,2,3,1,3,2,0,3,2,1,2,1,0,0,0,NA,NA,NA,NA,2,2,NA,2,3,NA,NA,NA,1,NA,0,2,2,2,3,2,NA,3,3,1,2,1,NA,NA,NA,0,0,0,0,1,1,0,2,3,4,4,3,3,1,3,4,1,1,1,5,6,5,3,5,2,7,3,3,5,2,3,4,4,28,male,Black or African-American,Graduated high school (or GED),"Less than $10,000",Not currently working for pay,0,Yes,Non-female,Non-white,Not_working,2.5,4,3,1,5,4,3.5,6.5,3,1,1.538461538,0.818181818,2
R_1DCM2l4TR8nKl6a,2,1,NA,1,2,3,2,2,2,3,2,1,1,2,2,2,2,1,1,1,NA,NA,2,1,3,3,1,1,4,2,1,0,1,2,1,1,2,4,4,4,1,1,1,3,2,1,1,1,2,0,0,2,2,4,4,1,3,4,3,3,3,5,3,2,5,3,3,3,2,2,6,3,6,3,2,6,4,5,4,1,4,1,28,male,White or European-American,"Completed 4-year college (BA, BS)","$40,000 to $50,000",Working for pay (part-time or full-time),0,No,Non-female,White,Working,3.3,3,5,3,5.5,6,2.5,2,3.5,1.846153846,1.846153846,1.4375,2.461538462
R_1GV2hOdFbjGDr1s,1,2,0,2,1,2,2,1,2,3,2,3,3,2,1,2,1,3,1,3,2,0,1,1,2,3,1,2,2,1,1,NA,3,1,1,2,2,3,3,3,2,4,3,1,2,1,3,1,3,2,NA,2,1,3,4,1,2,2,1,1,1,2,1,1,4,3,2,1,2,3,2,3,6,2,3,3,3,5,4,0,1,0,28,female,White or European-American,Some college or technical school,"$10,000 to $20,000",Not currently working for pay,0,No,Female,White,Not_working,1.7,1,2,3,5.5,2.5,2,3,3,1.25,2.384615385,1.428571429,2.846153846
R_1OJhVV3T7OfcOuD,2,1,1,1,3,2,2,1,1,3,2,1,0,1,1,1,0,1,1,0,1,0,2,1,2,1,0,3,1,2,1,1,2,3,2,2,2,3,4,3,2,NA,2,2,1,NA,1,2,NA,3,NA,3,1,3,3,NA,3,2,3,4,4,5,3,3,4,3,4,1,2,5,5,6,3,1,6,3,6,2,2,2,5,3,28,female,White or European-American,Graduated high school (or GED),"$10,000 to $20,000",Working for pay (part-time or full-time),4,No,Female,White,Working,3.4,3,5,3,2.5,4,1.5,5.5,6,1.3125,1.153846154,2.153846154,2.272727273
R_1zdJcmXXO9Rhezn,2,2,2,1,2,3,2,4,1,3,1,0,3,1,3,2,3,0,1,2,3,2,2,3,2,2,2,2,2,2,2,2,1,2,3,2,3,1,3,1,NA,2,1,2,1,2,NA,2,1,2,1,2,2,1,1,2,1,2,7,7,7,7,6,6,6,3,3,3,5,6,6,6,5,3,6,6,6,4,4,2,4,2,28,male,White or European-American,"Completed 4-year college (BA, BS)","$40,000 to $50,000",Working for pay (part-time or full-time),0,No,Non-female,White,Working,5.5,7,7,3,4.5,6,4,6,6,2.4375,1.461538462,2.125,1.181818182
R_2TY9ssT0MZwvLoX,4,2,2,2,3,2,4,3,0,1,2,0,2,0,2,NA,3,0,0,1,3,3,3,3,2,1,3,2,0,4,2,2,1,3,2,3,3,NA,1,1,NA,1,NA,2,0,2,NA,NA,1,3,3,3,3,2,2,3,1,NA,7,7,7,7,6,4,2,3,7,5,1,7,7,2,6,1,7,6,1,3,3,1,5,3,28,male,White or European-American,Graduated high school (or GED),"$40,000 to $50,000",Not currently working for pay,0,No,Non-female,White,Not_working,5.5,7,7,3,4.5,6.5,1,7,1.5,2.5625,1,2.6,1.125
